Range    : 0.200

Accuracy : 0.003

Control file  : gr32new

Spectrum file : 9md

Searching 1 1 0 near 2648.69151
10 1 9 2737.0764 98.5 3397.97325
12 1 11 2491.2871 98.8 3397.97584

11 1 11 2720.90625 97.0 3397.97823
12 1 11 2491.2871 98.8 3397.97584

11 1 11 2721.09104 3.2 3398.16302
12 3 9 2300.10804 100.1 3398.16326

11 1 11 2721.29389 83.6 3398.36587
10 3 7 2583.90769 95.5 3398.36479

11 1 11 2721.33446 99.3 3398.40644
12 1 11 2491.71613 99.3 3398.40487

12 1 11 2491.31594 99.3 3398.00468
12 3 9 2299.95071 100.1 3398.00593

11 3 9 2527.42599 99.9 3398.02231
12 3 9 2299.96774 100.1 3398.02295

11 3 9 2527.52243 100.1 3398.11875
12 3 9 2300.06229 94.3 3398.11751

11 3 9 2527.58991 100.0 3398.18623
12 3 9 2300.12832 100.2 3398.18354

11 3 9 2527.62915 81.6 3398.22547
12 3 9 2300.17066 100.1 3398.22588

Searching 11 2 10 near 3398.1723

10 2 9 2737.0764 98.5 3397.97326
12 2 11 2491.2871 98.8 3397.97584

10 2 9 2737.36815 96.5 3398.26501
